Media,Bias Level,conventions,slickly,plagiarism,schlonged,obliquely,marriot,petrick,virgina,overdraw,farallon
Buzzfeed News,1,224.0,10.0,80.0,1.0,19.0,0.0,0.0,4.0,1.0,1.0
Vice,1,614.0,37.0,95.0,2.0,46.0,0.0,7.0,8.0,2.0,4.0
New Yorker,1,134.0,3.0,12.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0
New Republic,1,166.0,3.0,38.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0
Vox,1,631.0,22.0,181.0,5.0,66.0,0.0,0.0,1.0,2.0,4.0
Refinery 29,1,177.0,4.0,40.0,0.0,5.0,5.0,3.0,5.0,5.0,1.0
The Verge,2,247.0,18.0,39.0,0.0,17.0,0.0,0.0,1.0,1.0,0.0
The New York Times,2,1977.0,106.0,313.0,2.0,291.0,7.0,19.0,6.0,14.0,31.0
Gizmodo,2,41.0,2.0,11.0,0.0,4.0,2.0,2.0,5.0,1.0,6.0
Economist,2,166.0,7.0,19.0,1.0,34.0,0.0,0.0,2.0,0.0,0.0
CNN,2,598.0,26.0,182.0,11.0,45.0,2.0,0.0,4.0,2.0,9.0
Politico,2,553.0,7.0,84.0,6.0,41.0,1.0,0.0,1.0,1.0,2.0
Washington Post,2,19.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Business Insider,3,116.0,2.0,24.0,0.0,6.0,7.0,0.0,2.0,4.0,10.0
Reuters,3,455.0,16.0,100.0,0.0,29.0,25.0,10.0,15.0,7.0,67.0
Wired,3,65.0,4.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
TechCrunch,3,78.0,10.0,15.0,0.0,8.0,2.0,0.0,2.0,2.0,5.0
CNBC,3,284.0,8.0,63.0,0.0,13.0,12.0,9.0,14.0,15.0,37.0
The Hill,3,832.0,7.0,148.0,9.0,35.0,1.0,0.0,4.0,5.0,11.0
Axios,3,14.0,0.0,8.0,0.0,3.0,1.0,0.0,3.0,2.0,6.0
Fox News,4,28.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0
